exp_group	utc_date	tn	tp	fn	fp
prod_thresh_0_6	2020-07-01	62363790,62137218,61922384,61737090,61567595,61417222,61282413,61166381,61065900,60981037,60910559,60858112	3734007,3614428,3495281,3377488,3266681,3164731,3068241,2973753,2879715,2785796,2690252,2594974	203942,326851,449439,571338,686697,793019,893801,992515,1090390,1187056,1284727,1381240	629637,852879,1064272,1245460,1410403,1556404,1686921,1798727,1895371,1977487,2045838,2097050
prod_thresh_0_6	2020-07-02	64158718,63915732,63696709,63515499,63359719,63220103,63096661,62989736,62899387,62828455,62771348,62728281	3299339,3160584,3018269,2876361,2744200,2620463,2506235,2394310,2286141,2181334,2076527,1973447	219003,346762,477132,606455,725280,835566,936126,1034036,1127980,1218930,1310413,1400702	679588,933570,1164538,1358333,1527449,1680516,1817626,1938566,2043140,2127929,2198360,2254218
prod_thresh_0_6	2020-07-03	62558329,62364589,62192271,62040267,61899765,61766194,61637482,61515963,61402772,61298154,61199410,61110009	2556937,2493211,2429404,2368187,2312380,2261205,2212884,2165812,2120884,2076635,2031310,1984839	141426,222424,303737,382671,456490,525510,591380,655772,718083,780027,842849,906364	432274,608742,763554,897841,1020331,1136057,1247220,1351419,1447227,1534150,1615397,1687754
prod_thresh_0_6	2020-07-04	60921660,60648689,60415513,60223320,60052661,59892633,59741573,59601431,59477265,59364483,59265172,59174989	3758391,3617184,3472550,3332811,3203284,3083603,2972179,2867141,2768902,2671994,2575663,2481925	219701,347468,479094,605904,723401,832515,934810,1032497,1124677,1216092,1308553,1399874	699577,985988,1232172,1437294,1619983,1790578,1950767,2098260,2228485,2346760,2449941,2542541
prod_thresh_0_6	2020-07-05	62186907,61903628,61658125,61453629,61272371,61111192,60965944,60838205,60727922,60631418,60552628,60488947	4370267,4222562,4078227,3945425,3825012,3717147,3616867,3524753,3439914,3359768,3281474,3203180	230766,371113,508837,635223,748816,848759,940101,1021921,1096036,1165289,1231888,1297651	765281,1055918,1308032,1518944,1707022,1876123,2030309,2168342,2289349,2396746,2487231,2563443
prod_thresh_0_6	2020-07-06	64872316,64729111,64602821,64500528,64412523,64332624,64260041,64193059,64138406,64090286,64049020,64016251	1740181,1661082,1579278,1502102,1438639,1381999,1333665,1285883,1241839,1195140,1149809,1107178	118304,190456,263618,332186,393293,447612,493746,538999,577334,614312,649504,681395	364891,515043,649975,760876,851237,933457,1008240,1077751,1138113,1195954,1247359,1290868
prod_thresh_0_6	2020-07-07	58097176,57833491,57616003,57426253,57248614,57076680,56902993,56734270,56568274,56411119,56263422,56125873	2483939,2427190,2365918,2309314,2255767,2207487,2160225,2115878,2070711,2024620,1981428,1938231	162857,253234,347741,436100,519863,597448,672684,744359,816885,889875,959381,1028237	509935,739992,924245,1082240,1229663,1372292,1518005,1659400,1798037,1928293,2049676,2161566
prod_thresh_0_6	2020-07-08	51312363,50894408,50534637,50216931,49926386,49654360,49405972,49173773,48959692,48757832,48569896,48398287	5652528,5515963,5379273,5247282,5124283,5013436,4914210,4819338,4731688,4648697,4571101,4498582	269364,416493,562930,704394,837033,958359,1068962,1175826,1275435,1370728,1462221,1549945	905453,1312844,1662868,1971101,2252006,2513553,2750564,2970771,3172893,3362451,3536490,3692894
prod_thresh_0_6	2020-07-09	56671078,56402420,56164914,55970341,55810667,55672475,55551437,55447224,55359504,55286479,55231532,55194861	3853568,3688940,3529051,3379996,3243779,3119594,3001487,2890029,2783072,2678853,2577092,2478078	237454,364475,487420,599614,699150,786635,868204,943720,1014999,1083473,1149561,1211951	689460,995725,1270175,1501609,1697964,1872856,2030432,2170587,2293985,2402755,2493375,2566670
prod_thresh_0_6	2020-07-10	63214499,63084099,62969283,62869616,62778511,62694870,62615428,62539148,62465991,62395347,62330442,62273666	2117675,2058268,1999322,1944708,1894949,1852190,1812988,1777999,1745201,1713388,1681542,1650499	114852,173345,232092,287804,339325,384255,426086,463955,499716,534367,568790,602809	362460,493774,608789,707358,796701,878171,954984,1028384,1098578,1166384,1228712,1282512
prod_thresh_0_6	2020-07-11	59498492,59313603,59135395,58974274,58821567,58678266,58544390,58420613,58308262,58204791,58104243,58014829	2728885,2646122,2569493,2496878,2432976,2375254,2325806,2281490,2237161,2193136,2149290,2104102	150799,236389,317738,394422,461581,522559,576238,625450,674502,723264,772558,823543	463991,646053,819541,976593,1126043,1266088,1395733,1514614,1622242,1720976,1816076,1899693
prod_thresh_0_6	2020-07-12	51291153,51087638,50919839,50781974,50666262,50565522,50474648,50393856,50320021,50252885,50192289,50139059	2268177,2176716,2085507,2001312,1925818,1855382,1789363,1727016,1667137,1608798,1551852,1498650	151286,252266,354111,449495,536733,618962,696990,771545,844178,914960,984171,1049733	474400,668396,825559,952235,1056203,1145150,1224015,1292599,1353680,1408373,1456704,1497574
